"","x"
"stuff",30
"three",30
"water",30
"yes",30
"decor",29
"glad",29
"hours",29
"leave",29
"months",29
"pay",29
"priced",29
"ready",29
"red",29
"started",29
"told",29
"use",29
"waiter",29
"yummy",29
"6",28
"bbq",28
"crispy",28
"eating",28
"finally",28
"guys",28
"looks",28
"may",28
"noodles",28
"recently",28
"regular",28
"sat",28
"someone",28
"thanks",28
"trying",28
"walk",28
"wow",28
"across",27
"beers",27
"choices",27
"course",27
"cute",27
"fish",27
"guy",27
"offer",27
"packed",27
"park",27
"potatoes",27
"seriously",27
"sunday",27
"unique",27
"walked",27
"along",26
"asian",26
"asked",26
"bite",26
"comes",26
"drive",26
"eggs",26
"etc",26
"gets",26
"ingredients",26
"late",26
"main",26
"mexican",26
"money",26
"portions",26
"salsa",26
"sandwiches",26
"server",26
"solid",26
"start",26
"trip",26
"30",25
"cost",25
"crab",25
"interesting",25
"mind",25
"neighborhood",25
"past",25
"portion",25
"potato",25
"reason",25
"sometimes",25
"soon",25
"tables",25
"tell",25
"twice",25
"yelp",25
"glass",24
"gone",24
"hit",24
"issue",24
"list",24
"oh",24
"ribs",24
"salmon",24
"saw",24
"seat",24
"stay",24
"add",23
"arrived",23
"bacon",23
"beans",23
"birthday",23
"cafe",23
"cocktails",23
"filling",23
"healthy",23
"heavy",23
"incredibly",23
"knew",23
"later",23
"located",23
"lovely",23
"low",23
"might",23
"near",23
"ok",23
"others",23
"prepared",23
"rolls",23
"share",23
"stopped",23
"taking",23
"team",23
"warm",23
"yet",23
"burgers",22
"completely",22
"cozy",22
"due",22
"entire",22
"garlic",22
"greeted",22
"grilled",22
"incredible",22
"mac",22
"morning",22
"outstanding",22
"pad",22
"patio",22
"problem",22
"remember",22
"simple",22
"surprise",22
"tour",22
"treat",22
"visiting",22
"weekend",22
"appointment",21
"ate",21
"believe",21
"broth",21
"dry",21
"fine",21
"helped",21
"lamb",21
"loud",21
"office",21
"ordering",21
"plate",21
"seems",21
"totally",21
"vancouver",21
"15",20
"7",20
"brunch",20
"building",20
"burrito",20
"chips",20
"choose",20
"crust",20
"delivery",20
"egg",20
"either",20
"employees",20
"evening",20
"expect",20
"expensive",20
"french",20
"hands",20
"haven",20
"hungry",20
"idea",20
"meats",20
"minute",20
"moved",20
"notch",20
"pricey",20
"rest",20
"run",20
"sauces",20
"shopping",20
"show",20
"50",19
"9",19
"amount",19
"butter",19
"craving",19
"early",19
"fact",19
"gem",19
"gives",19
"level",19
"lived",19
"offered",19
"orlando",19
"party",19
"pick",19
"process",19
"sausage",19
"toast",19
"vegetarian",19
"view",19
"walking",19
"wall",19
"worked",19
"world",19
"added",18
"ago",18
"ambiance",18
"available",18
"box",18
"cold",18
"curry",18
"ended",18
"environment",18
"fabulous",18
"fancy",18
"five",18
"fix",18
"floor",18
"friday",18
"giving",18
"goes",18
"kept",18
"man",18
"meals",18
"mom",18
"mouth",18
"needs",18
"nicely",18
"ones",18
"onion",18
"products",18
"questions",18
"soft",18
"stuffed",18
"type",18
"unless",18
"100",17
"authentic",17
"change",17
"coconut",17
"convenient",17
"crazy",17
"creamy",17
"date",17
"dog",17
"eaten",17
"fair",17
"filled",17
"grab",17
"honestly",17
"living",17
"mall",17
"manager",17
"mixed",17
"patient",17
"pieces",17
"reasonably",17
"satisfied",17
"saturday",17
"seated",17
"section",17
"seen",17
"slow",17
"surprised",17
"value",17
"vibe",17
"w",17
"y",17
"yum",17
"8",16
"addition",16
"affordable",16
"already",16
"aren",16
"black",16
"bottle",16
"boyfriend",16
"checked",16
"courteous",16
"crowd",16
"cup",16
"exactly",16
"expected",16
"feeling",16
"forward",16
"four",16
"honest",16
"instead",16
"italian",16
"mean",16
"means",16
"n",16
"owners",16
"paid",16
"pancakes",16
"plan",16
"received",16
"salon",16
"salty",16
"seeing",16
"seem",16
"serve",16
"support",16
"truly",16
"trust",16
"using",16
"visited",16
"welcoming",16
"bartender",15
"casual",15
"chinese",15
"classic",15
"complete",15
"counter",15
"downtown",15
"generous",15
"hotel",15
"including",15
"juicy",15
"middle",15
"mix",15
"moving",15
"normally",15
"number",15
"online",15
"oysters",15
"plates",15
"presentation",15
"read",15
"ride",15
"sides",15
"simply",15
"smooth",15
"spend",15
"summer",15
"tomato",15
"winter",15
"within",15
"wouldn",15
"blue",14
"brisket",14
"buy",14
"buying",14
"crowded",14
"delivered",14
"event",14
"exceptional",14
"fall",14
"finding",14
"fruit",14
"hear",14
"heart",14
"joint",14
"lady",14
"meet",14
"mention",14
"perfection",14
"please",14
"possible",14
"refreshing",14
"servers",14
"smile",14
"talking",14
"thick",14
"touch",14
"true",14
"turkey",14
"11",13
"accommodating",13
"ahead",13
"appetizer",13
"appreciated",13
"based",13
"basic",13
"bought",13
"checking",13
"customers",13
"dark",13
"detail",13
"easily",13
"given",13
"glasses",13
"head",13
"helping",13
"homemade",13
"immediately",13
"issues",13
"lettuce",13
"literally",13
"multiple",13
"note",13
"outdoor",13
"pasta",13
"phenomenal",13
"picked",13
"pop",13
"pulled",13
"rating",13
"returning",13
"roasted",13
"sell",13
"sitting",13
"standard",13
"talk",13
"tastes",13
"tiny",13
"types",13
"understand",13
"upon",13
"veggie",13
"willing",13
"window",13
"alone",12
"anyway",12
"attention",12
"beyond",12
"chose",12
"conversation",12
"damn",12
"favorites",12
"gift",12
"ladies",12
"lol",12
"lucky",12
"mine",12
"orders",12
"pleased",12
"seasoned",12
"serving",12
"sort",12
"thinking",12
"tip",12
"together",12
"ton",12
"upscale",12
"weren",12
